system:index,.geo
00000000000000000067,"{""type"":""Point"",""coordinates"":[-8.639687853773586,41.165091013824885]}"
00000000000000000068,"{""type"":""Point"",""coordinates"":[-8.632513325471699,41.165091013824885]}"
00000000000000000069,"{""type"":""Point"",""coordinates"":[-8.626773702830189,41.165091013824885]}"
00000000000000000070,"{""type"":""Point"",""coordinates"":[-8.62103408018868,41.165091013824885]}"
00000000000000000071,"{""type"":""Point"",""coordinates"":[-8.61529445754717,41.165091013824885]}"
00000000000000000072,"{""type"":""Point"",""coordinates"":[-8.60955483490566,41.165091013824885]}"
00000000000000000073,"{""type"":""Point"",""coordinates"":[-8.603815212264152,41.165091013824885]}"
00000000000000000074,"{""type"":""Point"",""coordinates"":[-8.598075589622642,41.165091013824885]}"
00000000000000000075,"{""type"":""Point"",""coordinates"":[-8.592335966981132,41.165091013824885]}"
00000000000000000076,"{""type"":""Point"",""coordinates"":[-8.584085259433962,41.165091013824885]}"
00000000000000000077,"{""type"":""Point"",""coordinates"":[-8.578345636792452,41.165091013824885]}"
00000000000000000078,"{""type"":""Point"",""coordinates"":[-8.675560495283019,41.16941912442396]}"
00000000000000000079,"{""type"":""Point"",""coordinates"":[-8.66982087264151,41.16941912442396]}"
00000000000000000080,"{""type"":""Point"",""coordinates"":[-8.646503655660378,41.16941912442396]}"
00000000000000000081,"{""type"":""Point"",""coordinates"":[-8.640764033018868,41.16941912442396]}"
00000000000000000082,"{""type"":""Point"",""coordinates"":[-8.635024410377358,41.16941912442396]}"
00000000000000000083,"{""type"":""Point"",""coordinates"":[-8.62928478773585,41.16941912442396]}"
00000000000000000084,"{""type"":""Point"",""coordinates"":[-8.62354516509434,41.16941912442396]}"
00000000000000000085,"{""type"":""Point"",""coordinates"":[-8.61780554245283,41.16941912442396]}"
00000000000000000086,"{""type"":""Point"",""coordinates"":[-8.612065919811322,41.16941912442396]}"
00000000000000000087,"{""type"":""Point"",""coordinates"":[-8.606326297169812,41.16941912442396]}"
00000000000000000088,"{""type"":""Point"",""coordinates"":[-8.600586674528302,41.16941912442396]}"
00000000000000000089,"{""type"":""Point"",""coordinates"":[-8.594847051886793,41.16941912442396]}"
00000000000000000090,"{""type"":""Point"",""coordinates"":[-8.589107429245283,41.16941912442396]}"
00000000000000000091,"{""type"":""Point"",""coordinates"":[-8.583367806603773,41.16941912442396]}"
00000000000000000092,"{""type"":""Point"",""coordinates"":[-8.67304941037736,41.17374723502304]}"
00000000000000000093,"{""type"":""Point"",""coordinates"":[-8.66730978773585,41.17374723502304]}"
00000000000000000094,"{""type"":""Point"",""coordinates"":[-8.649732193396227,41.17374723502304]}"
