system:index,class,.geo
00000000000000000072,2,"{""type"":""Point"",""coordinates"":[-39.021,-12.255504]}"
00000000000000000073,2,"{""type"":""Point"",""coordinates"":[-39.021,-12.254536]}"
00000000000000000074,2,"{""type"":""Point"",""coordinates"":[-39.021,-12.253568000000001]}"
00000000000000000075,2,"{""type"":""Point"",""coordinates"":[-39.021,-12.252600000000001]}"
00000000000000000076,2,"{""type"":""Point"",""coordinates"":[-39.021,-12.251632]}"
00000000000000000077,2,"{""type"":""Point"",""coordinates"":[-39.021,-12.250664]}"
00000000000000000078,2,"{""type"":""Point"",""coordinates"":[-39.021,-12.249696]}"
00000000000000000079,2,"{""type"":""Point"",""coordinates"":[-39.021,-12.248728]}"
00000000000000000080,2,"{""type"":""Point"",""coordinates"":[-39.021,-12.247760000000001]}"
00000000000000000081,2,"{""type"":""Point"",""coordinates"":[-39.021,-12.246792000000001]}"
00000000000000000082,2,"{""type"":""Point"",""coordinates"":[-39.021,-12.245824]}"
00000000000000000083,2,"{""type"":""Point"",""coordinates"":[-39.021,-12.244856]}"
00000000000000000084,2,"{""type"":""Point"",""coordinates"":[-39.021,-12.243888]}"
00000000000000000085,2,"{""type"":""Point"",""coordinates"":[-39.021,-12.24292]}"
00000000000000000086,2,"{""type"":""Point"",""coordinates"":[-39.021,-12.241952000000001]}"
00000000000000000087,2,"{""type"":""Point"",""coordinates"":[-39.021,-12.240984000000001]}"
00000000000000000088,2,"{""type"":""Point"",""coordinates"":[-39.021,-12.240016]}"
00000000000000000089,2,"{""type"":""Point"",""coordinates"":[-39.021,-12.239048]}"
00000000000000000090,2,"{""type"":""Point"",""coordinates"":[-39.021,-12.23808]}"
00000000000000000091,2,"{""type"":""Point"",""coordinates"":[-39.021,-12.237112]}"
00000000000000000092,2,"{""type"":""Point"",""coordinates"":[-39.021,-12.236144000000001]}"
00000000000000000093,2,"{""type"":""Point"",""coordinates"":[-39.021,-12.235176000000001]}"
00000000000000000094,2,"{""type"":""Point"",""coordinates"":[-39.021,-12.234208]}"
00000000000000000095,2,"{""type"":""Point"",""coordinates"":[-39.021,-12.23324]}"
00000000000000000096,2,"{""type"":""Point"",""coordinates"":[-39.021,-12.232272]}"
00000000000000000097,2,"{""type"":""Point"",""coordinates"":[-39.021,-12.231304]}"
00000000000000000098,2,"{""type"":""Point"",""coordinates"":[-39.021,-12.230336000000001]}"
00000000000000000099,2,"{""type"":""Point"",""coordinates"":[-39.021,-12.229368000000001]}"
00000000000000000100,2,"{""type"":""Point"",""coordinates"":[-39.021,-12.2284]}"
00000000000000000101,2,"{""type"":""Point"",""coordinates"":[-39.021,-12.227432]}"
00000000000000000102,2,"{""type"":""Point"",""coordinates"":[-39.021,-12.226464]}"
00000000000000000103,2,"{""type"":""Point"",""coordinates"":[-39.021,-12.225496000000001]}"
00000000000000000104,2,"{""type"":""Point"",""coordinates"":[-39.021,-12.224528000000001]}"
00000000000000000105,2,"{""type"":""Point"",""coordinates"":[-39.021,-12.22356]}"
