X,Y,Z,LAI
-3.65773809412499,40.6398809527591,0,1.63333333
-3.65476190364919,40.6398809527591,0,1.60000002
-3.65178571317338,40.6398809527591,0,1.60000002
-3.64880952269757,40.6398809527591,0,1.60000002
-3.6607142846008,40.6369047622773,0,1.53333330
-3.65773809412499,40.6369047622773,0,1.56666672
-3.65476190364919,40.6369047622773,0,1.56666672
-3.65178571317338,40.6369047622773,0,1.56666672
-3.64880952269757,40.6369047622773,0,1.60000002
-3.64583333222177,40.6369047622773,0,1.56666672
-3.64285714174596,40.6369047622773,0,1.53333330
-3.63988095127015,40.6369047622773,0,1.56666672
-3.63690476079435,40.6369047622773,0,1.56666672
-3.66369047507661,40.6339285717955,0,1.46666670
-3.6607142846008,40.6339285717955,0,1.36666667
-3.65773809412499,40.6339285717955,0,1.26666665
-3.65476190364919,40.6339285717955,0,1.03333330
-3.65178571317338,40.6339285717955,0,1.50000000
-3.64880952269757,40.6339285717955,0,1.63333333
-3.64583333222177,40.6339285717955,0,1.56666672
-3.64285714174596,40.6339285717955,0,1.50000000
-3.63988095127015,40.6339285717955,0,1.56666672
-3.63690476079435,40.6339285717955,0,1.56666672
-3.66666666555241,40.6309523813136,0,1.56666672
-3.66369047507661,40.6309523813136,0,1.46666670
-3.6607142846008,40.6309523813136,0,1.20000005
-3.65773809412499,40.6309523813136,0,0.89999998
-3.65476190364919,40.6309523813136,0,0.66666669
-3.65178571317338,40.6309523813136,0,1.23333335
-3.64880952269757,40.6309523813136,0,1.53333330
-3.64583333222177,40.6309523813136,0,1.46666670
-3.64285714174596,40.6309523813136,0,1.39999998
-3.63988095127015,40.6309523813136,0,1.46666670
-3.63690476079435,40.6309523813136,0,1.56666672
-3.63392857031854,40.6309523813136,0,1.50000000
-3.66666666555241,40.6279761908318,0,1.60000002
-3.66369047507661,40.6279761908318,0,1.33333337
-3.6607142846008,40.6279761908318,0,0.93333334
-3.65773809412499,40.6279761908318,0,0.43333334
-3.65476190364919,40.6279761908318,0,0.46666667
-3.65178571317338,40.6279761908318,0,1.00000000
